index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
183,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,0.1 [<0.1–0.1],0.10000,,0.1,,,
184,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2017.0,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,0.1 [<0.1–0.2],0.10000,,0.2,,,
185,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2018.0,2018,,WPR,2018,2018,Western Pacific,,PHL,Philippines,,0.1 [0.1–0.2],0.10000,0.1,0.2,,,
186,MDG_0000000029,Prevalence of HIV among adults aged 15 to 49 (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/334,,,,PUBLISHED,Published,,2019.0,2019,,WPR,2019,2019,Western Pacific,,PHL,Philippines,,0.2 [0.1–0.2],0.20000,0.1,0.2,,,
187,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
188,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2001.0,2001,,WPR,2001,2001,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
189,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2002.0,2002,,WPR,2002,2002,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
190,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
191,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2004.0,2004,,WPR,2004,2004,Western Pacific,,PHL,Philippines,,0 [0–0],0.00000,0.0,0.0,,,
192,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2005.0,2005,,WPR,2005,2005,Western Pacific,,PHL,Philippines,,1 [1–2],1.00000,1.0,2.0,,,
193,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2006.0,2006,,WPR,2006,2006,Western Pacific,,PHL,Philippines,,4 [3–5],4.00000,3.0,5.0,,,
194,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2007.0,2007,,WPR,2007,2007,Western Pacific,,PHL,Philippines,,5 [5–6],5.00000,5.0,6.0,,,
195,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,7 [6–8],7.00000,6.0,8.0,,,
196,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2009.0,2009,,WPR,2009,2009,Western Pacific,,PHL,Philippines,,7 [6–8],7.00000,6.0,8.0,,,
197,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2010.0,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,8 [7–9],8.00000,7.0,9.0,,,
198,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2011.0,2011,,WPR,2011,2011,Western Pacific,,PHL,Philippines,,12 [10–14],12.00000,10.0,14.0,,,
199,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,PHL,Philippines,,14 [12–16],14.00000,12.0,16.0,,,
200,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2013.0,2013,,WPR,2013,2013,Western Pacific,,PHL,Philippines,,16 [13–18],16.00000,13.0,18.0,,,
201,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2014.0,2014,,WPR,2014,2014,Western Pacific,,PHL,Philippines,,20 [17–23],20.00000,17.0,23.0,,,
202,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2015.0,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,24 [21–29],24.00000,21.0,29.0,,,
203,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,30 [25–35],30.00000,25.0,35.0,,,
204,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2017.0,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,35 [29–41],35.00000,29.0,41.0,,,
205,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2018.0,2018,,WPR,2018,2018,Western Pacific,,PHL,Philippines,,40 [34–47],40.00000,34.0,47.0,,,
206,HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4477,,,,PUBLISHED,Published,,2019.0,2019,,WPR,2019,2019,Western Pacific,,PHL,Philippines,,44 [37–52],44.00000,37.0,52.0,,,
207,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,1990.0,1990,,WPR,1990,1990,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
208,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,1991.0,1991,,WPR,1991,1991,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
209,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,1992.0,1992,,WPR,1992,1992,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
210,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
211,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,1994.0,1994,,WPR,1994,1994,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
212,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,1995.0,1995,,WPR,1995,1995,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
213,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,1996.0,1996,,WPR,1996,1996,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
214,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,1997.0,1997,,WPR,1997,1997,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
215,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
216,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,1999.0,1999,,WPR,1999,1999,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
217,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
218,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2001.0,2001,,WPR,2001,2001,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
219,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2002.0,2002,,WPR,2002,2002,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
220,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
221,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2004.0,2004,,WPR,2004,2004,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
222,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2005.0,2005,,WPR,2005,2005,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
223,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2006.0,2006,,WPR,2006,2006,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
224,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2007.0,2007,,WPR,2007,2007,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
225,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
226,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2009.0,2009,,WPR,2009,2009,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
227,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2010.0,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,<100 [<100–<200],,,,,,
228,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2011.0,2011,,WPR,2011,2011,Western Pacific,,PHL,Philippines,,<200 [<100–<200],,,,,,
229,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,PHL,Philippines,,<200 [<200–<200],,,,,,
230,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2013.0,2013,,WPR,2013,2013,Western Pacific,,PHL,Philippines,,<200 [<200–<200],,,,,,
231,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2014.0,2014,,WPR,2014,2014,Western Pacific,,PHL,Philippines,,<200 [<200–<500],,,,,,
232,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2015.0,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,<500 [<200–<500],,,,,,
233,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,<500 [<500–<500],,,,,,
234,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2017.0,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,<500 [<500–<500],,,,,,
235,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2018.0,2018,,WPR,2018,2018,Western Pacific,,PHL,Philippines,,<500 [<500–500],,,500.0,,,
236,HIV_0000000023,Estimated number of children needing antiretroviral therapy based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2935,,,,PUBLISHED,Published,,2019.0,2019,,WPR,2019,2019,Western Pacific,,PHL,Philippines,,<500 [<500–590],,,590.0,,,
237,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,1990.0,1990,,WPR,1990,1990,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
238,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,1991.0,1991,,WPR,1991,1991,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
239,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,1992.0,1992,,WPR,1992,1992,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
240,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
241,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,1994.0,1994,,WPR,1994,1994,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
242,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,1995.0,1995,,WPR,1995,1995,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
243,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,1996.0,1996,,WPR,1996,1996,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
244,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,1997.0,1997,,WPR,1997,1997,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
245,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
246,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,1999.0,1999,,WPR,1999,1999,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
247,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
248,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2001.0,2001,,WPR,2001,2001,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
249,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2002.0,2002,,WPR,2002,2002,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
250,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
251,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2004.0,2004,,WPR,2004,2004,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
252,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2005.0,2005,,WPR,2005,2005,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
253,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2006.0,2006,,WPR,2006,2006,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
254,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2007.0,2007,,WPR,2007,2007,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
255,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
256,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2009.0,2009,,WPR,2009,2009,Western Pacific,,PHL,Philippines,,<100 [<100–<100],,,,,,
257,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2010.0,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,<100 [<100–<200],,,,,,
258,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2011.0,2011,,WPR,2011,2011,Western Pacific,,PHL,Philippines,,<200 [<100–<200],,,,,,
259,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,PHL,Philippines,,<200 [<200–<200],,,,,,
260,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2013.0,2013,,WPR,2013,2013,Western Pacific,,PHL,Philippines,,<200 [<200–<500],,,,,,
261,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2014.0,2014,,WPR,2014,2014,Western Pacific,,PHL,Philippines,,<200 [<200–<500],,,,,,
262,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2015.0,2015,,WPR,2015,2015,Western Pacific,,PHL,Philippines,,<500 [<200–<500],,,,,,
263,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,<500 [<500–<500],,,,,,
264,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2017.0,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,<500 [<500–<500],,,,,,
265,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2018.0,2018,,WPR,2018,2018,Western Pacific,,PHL,Philippines,,<500 [<500–<500],,,,,,
266,HIV_0000000021,Estimated number of pregnant women living with HIV needing antiretrovirals for preventing mother-to-child transmission based on WHO methods,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2933,,,,PUBLISHED,Published,,2019.0,2019,,WPR,2019,2019,Western Pacific,,PHL,Philippines,,<500 [<500–<500],,,,,,
